web-scraper-order|web-scraper-start-url|all_titles|bed|bath|location|size|streeteasylink|streeteasylink-href|price|amenities|available|listed_date|description|build_amenities|nearby_transportation|nearby_transportation_2
1558669750-572|https://streeteasy.com/for-rent/downtown?page=36&sort_by=sqft_desc|410 West 24th Street #4GH|2 beds|2 baths|Co-op in West Chelsea|1,300 ft²|410 West 24th Street #4GH|https://streeteasy.com/building/410-west-24-street-new_york/4gh|$6,500                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman|7/1/2019|38 Days|July 1st Move-In. No Fee.Spacious 2-bedroom 2-bathroom apartment in London Terrace Towers. The apartment features a custom-designed open kitchen with granite countertops and stainless steel appliances including a dishwasher and microwave. The oversized master bedroom easily fits a king-sized bed and features a huge walk-in closet and en-suite bathroom, with enough room for a home office.This pet-friendly elevator building features 24-hour doorman, newly renovated fitness center with sauna and steam room, bike storage (2), laundry room (2), parking garage, furnished and planted roof deck with Empire State Building views and a one-of-a-kind Art Deco heated indoor swimming pool at no extra charge. There is also a Superintendent on-site and rent includes all utilities (electricity, heat, gas and hot water).This vast buff brick pile, in proto-modern planar style with faintly Gothic verticality, is actually two rows of connected apartment buildings flanking a block-long private garden. The name comes from a row of four-story houses that once stretched along the same 23rd Street frontages, facing the 18th Century Clarke mansion. When the building first opened, the doormen were dressed as London bobbies as a play on the name.London Terrace Towers is located within one city block of the A,C,E subway lines and across the street from major cross town buses.|Co-purchase Allowed                                      Gifts Allowed                                      Guarantors Allowed                                      Parents Buying Allowed                                      Pied-a-Terre Allowed                                      Sublets Allowed|C          E                   at 23rd St            0.33 miles|A          C          E          L                   at 14th St-8th Av            0.49 miles
1558669693-551|https://streeteasy.com/for-rent/downtown?page=37&sort_by=sqft_desc|200 North End Avenue #28D|2 beds|2 baths|Rental Unit in Battery Park City|1,268 ft²|200 North End Avenue #28D|https://streeteasy.com/building/liberty-luxe/28d|↓              $9,121                                  NO FEE|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|48 Days|Exquisite 2 BR / 2 BA – 1 Month Free and 1 Month OP – Net Rent ListedSpacious, elegant, and majestic, this bright 1,268 sf apartment features marble counter tops, Viking stainless steel appliances, Subzero refrigerator, bamboo floors and cabinets, walk-in closets, and sweeping views of the Hudson River. The deluxe bathroom features a standing glass shower and beautiful soaking tub options. This unit offers North, East and Southern exposures. Just as exquisite as it is practical, this gorgeous apartment is the epitome of Manhattan real estate heaven!Welcome to Liberty Luxe and Liberty Green, beautifully set against the backdrop of Battery Park City's breathtaking gardens, landmarks, parks, recreation, and the storied Hudson River Promenade. These two magnificent new Green residences are changing the definition of sustainable New York luxury rental living, as they have achieved LEED Gold standards, the environmental responsibility is apparent throughout the design, materials, systems, and amenities.Liberty Luxe and Liberty Green offer the ultimate in sophistication and service, including fully-attended lobbies, spacious, beautifully designed homes, top finishes, panoramic city and river views, and coveted social and recreational amenities. Discover our complimentary resident only fitness center today which for no additional fee. The club also offers a private home theater, a phenomenal billiards room, two private massage therapy rooms, and more.Visit or call our Leasing Office at 200 North End Ave for more information (Open 7 Days a week)* Listed rent is net effective rent, based on a gross rent of $9950.00 and 1 Month Free|Community Recreation Facilities                                              Concierge                                              Green Building                                              Gym                                              Live-in Super                                              Parking Available|Ferry                   at World Financial Center Ferry Landing            0.14 miles|A          C          E          2          3          PATH                   at World Trade Center            0.35 miles
1558669901-629|https://streeteasy.com/for-rent/downtown?page=33&sort_by=sqft_desc|75 Wall Street #29C|2 beds|2 baths|Condo in Financial District|1,400 ft²|75 Wall Street #29C|https://streeteasy.com/building/75-wall-street-new_york/29c|$6,995                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|Available Now|61 Days|High floor and Amazing light! This is a split bedroom layout that offers privacy and efficiency. Call or email for an exclusive showing!NO FEE Easy rental approval!|Bike Room                                              Concierge                                              Garage Parking                                              Gym                                              Laundry in Building                                              Live-in Super                                              Media Room                                              Parking Available|Ferry                   at Pier 11 Ferry Landing            0.12 miles|2          3                   at Wall St            0.13 miles
1558671756-785|https://streeteasy.com/for-rent/downtown?page=44&sort_by=sqft_desc|99 John Street #1702|2 beds|2 baths|Condo in Fulton/Seaport|1,153 ft²|99 John Street #1702|https://streeteasy.com/building/99-john-deco-lofts/rental/2742145|$5,300                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|7/1/2019|Listed Today|BRIGHT CORNER unit with spacious true 2 bedrooms and 2 full bathrooms with north and west exposures. Oversized windows throughout this loft style Condo with incredible natural LIGHT! Beautiful wide hardwood floors, high vaulted ceilings, tons of closet space, and windowed kitchen with stainless steel appliances. Washer/dryer in unit as well as additional laundry room in building.99 John Deco Lofts was originally built in 1933 by the same architectural firm, (Shreve, Lamb and Harmon), that designed the Empire State Building.  The art deco building offers a 24-hour concierge, fully equipped fitness center, rooftop deck with 360-degree views of Manhattan and stellar views of the East River and the Brooklyn and Manhattan bridges, Children’s Playroom, Residents’ Lounge, Billiards room, Media room, Outdoor Zen Terrace, Laundry room, Garage, and three supermarkets including one in the building.  Centrally located near fine dining and world class shopping such as; South Street Seaport with a new 50,000 sq. ft seafood market and food hall with restaurants by celebrity chefs: Jean-Georges Vongerichten, David Chang, and Andrew Carmellini, the nearby Beekman Hotel with restaurants by both Keith McNally and Tom Colicchio,  IPIC movie theater, Whole Foods coming soon!, Eataly, Westfield WTC in the Oculus, Brookfield Place, and Saks Fifth Avenue. One block away from all major subway lines (A, C, J, Z, R, W, 2, 3, 4, 5) at the Fulton Street Transit hub and close to PATH trains and water taxis.|Bike Room                                              Children's Playroom                                              Concierge                                              Garage Parking                                              Gym                                              Laundry in Building                                              Live-in Super                                              Media Room                                              Package Room                                              Storage Available|A          C          J          Z          2          3          4          5                   at Fulton St-Broadway-Nassau            0.17 miles|2          3                   at Wall St            0.22 miles
1558671424-663|https://streeteasy.com/for-rent/downtown?page=50&sort_by=sqft_desc|438 East 12th Street #2E|2 beds|2 baths|Condo in East Village|1,037 ft²|438 East 12th Street #2E|https://streeteasy.com/building/steiner-east-village/2e|$9,000                for rent|Doorman                                                                                                                                                  Washer/Dryer In-Unit|7/1/2019|Listed Today|"New construction, never lived in 2BR 2Bath sunny, interior courtyard facing unit with 10'7"" High Ceiling combined with Floor to Ceiling windows. Designed by Paris Forino, this luxury apt comes with top of the line appliances including wine cooler, sub-zero refrigerator, smart-appliances. Other features include heated master bathroom marble floor, de-humidifier, dual walk-in closets in the master bedroom. The building just opened in East Village and comes with over 16,000 SF of Amazing amenities which includes 24 hr Concierge, Library, Gym, 50 ft Pool overlooking the Courtyard, Sauna and Steam room, Playroom, Courtyard next to the pool and Rooftop Garden with BBQ Grill. The building also offers a convenient location with easy access to transportation, Trader Joe's and restaurants in the neighborhood."|Children's Playroom                                              Concierge                                              Garage Parking                                              Gym                                              Swimming Pool|L                   at 1st Av            0.17 miles|L                   at 3rd Av            0.37 miles
1558671490-689|https://streeteasy.com/for-rent/downtown?page=49&sort_by=sqft_desc|776 Sixth Avenue #32F|2 beds|2 baths|Rental Unit in NoMad|1,082 ft²|776 Sixth Avenue #32F|https://streeteasy.com/building/the-capitol-776-sixth-avenue-new_york/32f|↑              $8,065                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|6/27/2019|3 Days|This two bedroom apartment home is available for a March 16th move-in date. The Capitol sits right in the heart of one of Manhattan's most vibrant neighborhoods. The community features a 24 hour fitness center, concierge and in-building laundry. The apartment home features hardwood floors, marble bathroom and a washer dryer.|Concierge                                              Gym|N          R          W                   at 28th St            0.13 miles|F          M                   at 23rd St            0.16 miles
1558671702-766|https://streeteasy.com/for-rent/downtown?page=45&sort_by=sqft_desc|88 Greenwich Street #509|2 beds|2 baths|Condo in Financial District|1,122 ft²|88 Greenwich Street #509|https://streeteasy.com/building/greenwich-club/509|↓              $5,500                for rent|Elevator                                                                                                                                                  Full-time Doorman|Available Now|71 Days|Located in the ever-popular FiDi neighborhood, this generously sized two bedroom, corner home enjoys stunning night time city views and light-filled days as well.  The expansive, open floor plan makes entertaining a breeze, whether a small intimate dinner party or your Sunday brunch feast for friends near and far.  The open kitchen boasts stainless steel appliances and offers easy access to your living space.  Two large bedrooms, one ensuite, and a second bathroom create the perfect setup for overnight guests.  Oh, and you need spacious closets?  Look no further.  Apt 509 has you covered. Sorry, no pets!The Greenwich Club features a full slate of all you could possibly want, luxury amenities including a state-of-the-art gym and yoga facility, landscaped sky deck, billiards room, lounge, business center, bike room, package room and cold storage as well as 24 hour doorman/concierge, live-in super and laundry on every floor. 88 Greenwich is just steps from new and exciting restaurants, upscale retail shops (Whole Foods coming soon), and convenient to the plethora of subway lines in FiDi. The Financial District is the most dramatic and fastest growing neighborhood in Manhattan and our FiDi Fan Page on Facebook is the best resource for residents and visitors alike.|Bike Room                                              Cold Storage                                              Community Recreation Facilities                                              Garage Parking                                              Gym                                              Laundry in Building                                              Live-in Super                                              Package Room                                              Parking Available                                              Storage Available|1                   at Rector St            under 500 feet|R          W                   at Rector St            under 500 feet
1558671615-732|https://streeteasy.com/for-rent/downtown?page=47&sort_by=sqft_desc|77 West 24th Street #23A|2 beds|2 baths|Rental Unit in Flatiron|1,090 ft²|77 West 24th Street #23A|https://streeteasy.com/building/the-vanguard-chelsea/23a?featured=1|↓              $9,850                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|146 Days|The Vanguard is a LEED Platinum full service luxury rental tower featuring unsurpassed finishes, services and amenities.We invite you to experience our newly designed collection of homes at The Vanguard! Inspired by COOK+FOX Architects' vision to deliver the most sophisticated and sustainable designs, our new collection displays an elevated level of living.The newly refined interiors feature open kitchen designs in a light bone palette to reflect timeless elegance. This home has an exceptionally large kitchen with wrap around bay windows in the living room, a textured ceramic tile backsplash accompanied with a solid Quartz countertop.This residence also has two baths that are accented with a timeless Botticino marble framed with a Pietra Grey marble stone trim and an elegant oak vanity.This exclusive tower residence features panoramic and unobstructed views of the Flatiron Building, The NY life Insurance Building, The Masonic Hall and The Brooklyn Bridge.Located at the crossroads of Chelsea and Flatiron, the Vanguard's neighborhood boasts the best restaurants, retailers, culture, museums, art galleries and recreational opportunities. Sophisticated, contemporary lobby with geometric pattern limestone floor, mahogany columns and limestone concierge console 24-hour concierge Residents-only fully equipped fitness center and aerobics room 4,000 sq. ft. landscaped terrace Conference room Hi-speed Internet and telephone access (three providers) Cable TV WiFi Telephonic intercom system/multiple phone lines per residence Bicycle room and individual resident storage 24-hour parking garage with valet attendant Maid and valet services Unsurpassed level of service|Bike Room                                              Concierge                                              Garage Parking                                              Green Building                                              Gym                                              Laundry in Building                                              Live-in Super                                              Package Room                                              Parking Available                                              Storage Available|PATH                   at 23rd Street Station            under 500 feet|F          M                   at 23rd St            under 500 feet
1558671417-661|https://streeteasy.com/for-rent/downtown?page=50&sort_by=sqft_desc|90 West Street #15P|2 beds|2 baths|Rental Unit in Financial District|1,033 ft²|90 West Street #15P|https://streeteasy.com/building/90-west-street-new_york/15p|$5,395                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Washer/Dryer In-Unit|6/1/2019|3 Days|Stunning 2 beds with River views! Tons of light! Washer and dryer, bamboo floors, granite counter tops, stainless steel appliances and custom cabinets. Building amenities include 24-hour doorman, elevators, resident lounge, billiards room, laundry room on every other floor, and a fitness center. Originally completed in 1907, architect Cass Gilbert used Gothic-inspiration to create a skyscraper with imposing gargoyles, pointed arches, and a distinguishing mansard roof. One hundred years later in 2007, after meticulous reconstruction, 90 West Street was listed in the National Register of Historic Places. In recognition it has been granted high honors from the National Trust for Historic Preservation and New York's Landmark Conservancy. Images are from model units, please refer to floorplan.|Bike Room                                              Community Recreation Facilities                                              Garage Parking                                              Gym                                              Laundry in Building                                              Live-in Super                                              Parking Available|1                   at Rector St            0.14 miles|R          W                   at Cortlandt St            0.19 miles
1558671536-713|https://streeteasy.com/for-rent/downtown?page=48&sort_by=sqft_desc|142 Sullivan Street #27|2 beds|2 baths|Rental Unit in Soho|1,100 ft²|142 Sullivan Street #27|https://streeteasy.com/building/142-sullivan-street-new_york/27|$4,787                                  NO FEE|Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|6/10/2019|Listed Today|1,100 Square Feet! Newly gut renovated true 2 Bedroom/2 Bathroom apartment in the heart of Soho! Features a full-size washer/dryer, queen-size bedrooms, high ceilings, hardwood floors, multiple closets with overhead storage space and built-ins. The kitchen consists of brand new stainless steel appliances (including dishwasher), granite counter tops, and new cabinets. Both bathrooms include top of the line marble finishes and large glass stall showers.Pictures are of the pre-renovated apartment. New pictures are coming soon.The landlord allows pets, and out-of-state Guarantors.Minutes away from multiple restaurants, bars, coffee shops, shopping, and subway lines (6,1,N,R,C,E).RENT ADVERTISED IS THE NET EFFECTIVE (after 1 month free on a 24 month lease).|Live-in Super                                              Virtual Doorman|C          E                   at Spring St            0.13 miles|1                   at Houston St            0.18 miles
1558671830-813|https://streeteasy.com/for-rent/downtown?page=42&sort_by=sqft_desc|200 North End Avenue #25C|2 beds|2 baths|Rental Unit in Battery Park City|1,187 ft²|200 North End Avenue #25C|https://streeteasy.com/building/liberty-luxe/25c|$7,950                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|8 Days|Luxurious 2 BR / 2 BA Apartment located in Beautiful Battery Park City!If youre looking for luxury, look no further than this magnificent 2 BR / 2 BA apartment. This elegant 1,187 sqf apartment features marble counter tops, stainless steel appliances, bamboo floors and cabinets, deluxe bathrooms, featuring standing glass showers and beautiful soaking tub options, walk-in closets, and sweeping views of the Hudson River. Just as exquisite as it is practical, this gorgeous apartment is the epitome of Manhattan real estate heaven!Welcome to Liberty Luxe and Liberty Green, beautifully set against the backdrop of Battery Park City's breathtaking gardens, landmarks, parks, recreation, and the storied Hudson River Promenade. These two magnificent new Green residences are changing the definition of sustainable New York luxury rental living, as they have achieved LEED Gold standards, the environmental responsibility is apparent throughout the design, materials, systems and amenities.Liberty Luxe and Liberty Green offer the ultimate in sophistication and service, including fully-attended lobbies, spacious, beautifully designed homes, top finishes, panoramic city and river views, and coveted social and recreational amenities. Discover our complimentary resident only fitness center today which for no additional fee offers an array of classes ranging from Zumba to yoga! The club also offers a private screening room, a phenomenal billiards room, two private massage therapy rooms, and more!Visit our Leasing Office at 200 North End Ave (Open 7 days a week)CALL|Community Recreation Facilities                                              Concierge                                              Green Building                                              Gym                                              Live-in Super                                              Parking Available|Ferry                   at World Financial Center Ferry Landing            0.14 miles|A          C          E          2          3          PATH                   at World Trade Center            0.35 miles
1558671533-712|https://streeteasy.com/for-rent/downtown?page=48&sort_by=sqft_desc|37 West 21st Street #1106|2 beds|2 baths|Rental Unit in Flatiron|1,097 ft²|37 West 21st Street #1106|https://streeteasy.com/building/echelon-chelsea/1106|$7,900                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|50 Days|2BR/2BA, South Facing, Open Kitchen with Island,Great Light, 2 Walk In Closets and additional large coat closet, Sound resistantwindows, Washer/Dryer in apartment, Central Heat/AC. Call or email us aboutspecials!|Bike Room                                              Cold Storage                                              Community Recreation Facilities                                              Concierge                                              Gym                                              Live-in Super                                              Storage Available|PATH                   at 23rd Street Station            0.11 miles|F          M                   at 23rd St            0.13 miles
1558671826-812|https://streeteasy.com/for-rent/downtown?page=42&sort_by=sqft_desc|200 North End Avenue #14G|2 beds|2 baths|Rental Unit in Battery Park City|1,183 ft²|200 North End Avenue #14G|https://streeteasy.com/building/liberty-luxe/14g|$8,600                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|6/15/2019|16 Days|Exquisite 2 BR / 2 BA – Available 6/15Spacious, elegant, and majestic, this 1,183 sq. ft apartment features marble counter tops, Viking stainless steel appliances, bamboo floors and cabinets, in-unit W/D, deluxe bathrooms, featuring standing glass showers and beautiful soaking tub options, walk-in closets, and sweeping views of the Hudson River. Just as exquisite as it is practical, this gorgeous apartment is the epitome of Manhattan real estate heaven!Welcome to Liberty Luxe and Liberty Green, beautifully set against the backdrop of Battery Park City's breathtaking gardens, landmarks, parks, recreation, and the storied Hudson River Promenade. These two magnificent new Green residences are changing the definition of sustainable New York luxury rental living, as they have achieved LEED Gold standards, the environmental responsibility is apparent throughout the design, materials, systems and amenities.Liberty Luxe and Liberty Green offer the ultimate in sophistication and service, including fully-attended lobbies, spacious, beautifully designed homes, top finishes, panoramic city and river views, and coveted social and recreational amenities. Discover our complimentary resident only fitness center today. The club also features a private screening room, a phenomenal billiards room, two private massage therapy rooms, and more!Visit our Leasing Office at 200 North End Ave (Open 7 days a week)|Community Recreation Facilities                                              Concierge                                              Green Building                                              Gym                                              Live-in Super                                              Parking Available|Ferry                   at World Financial Center Ferry Landing            0.14 miles|A          C          E          2          3          PATH                   at World Trade Center            0.35 miles
1558671514-706|https://streeteasy.com/for-rent/downtown?page=48&sort_by=sqft_desc|375 South End Avenue #4P|2 beds|2 baths|Rental Unit in Battery Park City|1,091 ft²|375 South End Avenue #4P|https://streeteasy.com/building/375-south-end-avenue-new_york/4p|↑              $6,020                for rent|Doorman                                                                                                                                                  Elevator|Available Now|4 Days|This unit has a closed kitchen with quartz counter tops along with all of our newest renovations; hardwood plank floors and rehabbed bathroom with lovely subway tiles. Apartment has great closet space. Just steps from the Brookfield Mall, Oculus, Esplanade by the Hudson River, Freedom Tower, Financial District and so much more!|Garage Parking                                              Gym                                              Laundry in Building                                              Live-in Super                                              Swimming Pool                                              Valet Parking|1                   at Rector St            0.28 miles|Ferry                   at World Financial Center Ferry Landing            0.28 miles
1558671505-703|https://streeteasy.com/for-rent/downtown?page=48&sort_by=sqft_desc|777 6th Avenue #8C|2 beds|2 baths|Rental Unit in Chelsea|1,086 ft²|777 6th Avenue #8C|https://streeteasy.com/building/777-6th-avenue/8c|↓              $6,733                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed|Available Now|69 Days|NO BROKER FEES. 777 Sixth Avenue Apartments is located between 26th and 27th Streets on Sixth Avenue in the heart of one of New York's hottest neighborhoods – Chelsea. The 32 story luxury rental apartment building is breathtaking both inside and out, offers state-of-the-art green' design, a private garden entry with water wall, and apartment finishes that include stainless steel appliances, granite countertops and dramatic floor to ceiling windows. Great shops and restaurants are steps from your door. Walking distance to the NR and F trains. Minutes from Madison Square Garden, Soho and the Meatpacking District.|Community Recreation Facilities                                              Concierge                                              Gym                                              Laundry in Building                                              Live-in Super                                              Package Room|F          M                   at 23rd St            0.16 miles|N          R          W                   at 28th St            0.16 miles
1558671414-660|https://streeteasy.com/for-rent/downtown?page=50&sort_by=sqft_desc|450 Broome Street #3E|2 beds|2 baths|Rental Unit in Soho|1,032 ft²|450 Broome Street #3E|https://streeteasy.com/building/450-broome-street/rental/2731187|$8,000                for rent|Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|10 Days|This beautifully renovated 1000+ sq ft true two bedroom with two full bathrooms on Broome and Mercer is now available for rent! The kitchen has been renovated with high end appliances, quartz counter tops, under-cabinet lighting and excellent storage space. With 12' ceilings, white oak hardwood floors, central A/C, an in-unit washer/dryer and ample closet space this is a great new apartment to call your home. The building had an elevator, virtual doorman, is pet friendly, and both 1 or 2 year leases are being offered. For more information and to schedule an exclusive showing please call, text, or email today!|Storage Available                                              Virtual Doorman|6                   at Spring St            0.16 miles|N          R          W                   at Prince St            0.19 miles
1558671511-705|https://streeteasy.com/for-rent/downtown?page=48&sort_by=sqft_desc|77 West 24th Street #23A|2 beds|2 baths|Rental Unit in Flatiron|1,090 ft²|77 West 24th Street #23A|https://streeteasy.com/building/the-vanguard-chelsea/23a|↓              $9,850                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|146 Days|The Vanguard is a LEED Platinum full service luxury rental tower featuring unsurpassed finishes, services and amenities.We invite you to experience our newly designed collection of homes at The Vanguard! Inspired by COOK+FOX Architects' vision to deliver the most sophisticated and sustainable designs, our new collection displays an elevated level of living.The newly refined interiors feature open kitchen designs in a light bone palette to reflect timeless elegance. This home has an exceptionally large kitchen with wrap around bay windows in the living room, a textured ceramic tile backsplash accompanied with a solid Quartz countertop.This residence also has two baths that are accented with a timeless Botticino marble framed with a Pietra Grey marble stone trim and an elegant oak vanity.This exclusive tower residence features panoramic and unobstructed views of the Flatiron Building, The NY life Insurance Building, The Masonic Hall and The Brooklyn Bridge.Located at the crossroads of Chelsea and Flatiron, the Vanguard's neighborhood boasts the best restaurants, retailers, culture, museums, art galleries and recreational opportunities. Sophisticated, contemporary lobby with geometric pattern limestone floor, mahogany columns and limestone concierge console 24-hour concierge Residents-only fully equipped fitness center and aerobics room 4,000 sq. ft. landscaped terrace Conference room Hi-speed Internet and telephone access (three providers) Cable TV WiFi Telephonic intercom system/multiple phone lines per residence Bicycle room and individual resident storage 24-hour parking garage with valet attendant Maid and valet services Unsurpassed level of service|Bike Room                                              Concierge                                              Garage Parking                                              Green Building                                              Gym                                              Laundry in Building                                              Live-in Super                                              Package Room                                              Parking Available                                              Storage Available|PATH                   at 23rd Street Station            under 500 feet|F          M                   at 23rd St            under 500 feet
1558671654-746|https://streeteasy.com/for-rent/downtown?page=46&sort_by=sqft_desc|88 Leonard Street #501|2 beds|2 baths|Rental Unit in Tribeca|1,103 ft²|88 Leonard Street #501|https://streeteasy.com/building/88-leonard-street-new_york/501|↓              $6,495                                  NO FEE|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed|Available Now|119 Days|"NO FEE This spacious luxury TWO BEDROOM with WASHER & DRYER in unit features a fully equipped kitchen with granite counter tops, honed concrete tile floors and full-size stainless steel appliances. The elegant bathrooms showcase custom stainless steel vanity mirrors and marble tile floors. This building's location in vibrant TriBeCa gives residents access to countless renown restaurants and a one-of-a-kind view of New York City's skyline. Please call the leasing office to arrange a private viewing. JUST REDUCED! $6,495 Net effective | $6,995 Gross NO FEE Call/text/email today for access!  OPEN HOUSE: Friday 24th By Appointment OPEN HOUSE: Sunday 26th By Appointment"|Bike Room                                              Community Recreation Facilities                                              Laundry in Building                                              Parking Available                                              Storage Available                                              Swimming Pool|1                   at Franklin St            0.18 miles|J          N          Q          R          Z          6          W                   at Canal St            0.22 miles
1558671796-800|https://streeteasy.com/for-rent/downtown?page=43&sort_by=sqft_desc|345 West 14th Street #2F|2 beds|2 baths|Condo in Chelsea|1,168 ft²|345 West 14th Street #2F|https://streeteasy.com/building/345meatpacking-condominium/2f|$9,250                for rent|Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|Available Now|54 Days|Residence 2F is 1,168 square foot 2BR, 2BA corner residence with sunny north/west exposures and enjoys an enormous 342 square foot private terrace exceptionally unique design details, and a charming courtyard view.  The open living/dining room features custom milled paneling. The artisan-crafted kitchen features custom oak millwork, bronze detailing, honed Absolute Black granite countertop/backsplash, Dornbracht fixtures, and Sub-Zero, Wolf, and Bosch appliances.The master bedroom suite features quiet northern exposure, two generous closets and a 5 fixture bathroom. The bathroom includes a glass-enclosed wet room with oversized slabs of Spanish Travertine Marble. Additional bathroom features include a Clarke soaking tub with Spanish Travertine surround, solid brass vanity with granite countertop, Dornbracht fixtures, and custom brass wall sconces.The second bedroom features great western exposure. Second full bathroom features beautiful handcrafted, Moroccan ceramic tile, Hansgrohe fixtures and a deep soaking Duravit tub.  Additional residence features include: 7 inch wide plank Austrian Oak floors, double-paned high performance windows clad in architectural bronze, custom interior doors with unlacquered brass hardware, custom designed paneling and millwork throughout, a multi-zone three-pipe split system with climate control, and washer dryer hook up/laundry closet.|Bike Room                                              Concierge                                              Gym                                              Storage Available|A          C          E          L                   at 14th St-8th Av            0.13 miles|1                   at 18th St            0.35 miles
1558671457-680|https://streeteasy.com/for-rent/downtown?page=49&sort_by=sqft_desc|500 West 23rd Street #10G|2 beds|2 baths|Rental Unit in West Chelsea|1,058 ft²|500 West 23rd Street #10G|https://streeteasy.com/building/ten23-500-west-23-street-new_york/10g|↓              $7,684                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|19 Days|NO BROKER FEES. Ten23 Apartments is the premier luxury apartment community in Manhattan's exciting Chelsea neighborhood. Ten23 features tiered lawns, casually sophisticated amenity areas, impressively appointed apartment homes and is right next to the High Line. Floor to ceiling windows embrace life on the High Line and amplify the views of the New York Times building, the Hudson River and the Empire State Building. Ten23 Apartments – an irresistible lifestyle in the Chelsea neighborhood.|Community Recreation Facilities                                              Concierge                                              Gym                                              Laundry in Building                                              Package Room                                              Storage Available|C          E                   at 23rd St            0.37 miles|A          C          E          L                   at 14th St-8th Av            0.49 miles
1558671407-658|https://streeteasy.com/for-rent/downtown?page=50&sort_by=sqft_desc|500 West 23rd Street #2I|2 beds|2 baths|Rental Unit in West Chelsea|1,030 ft²|500 West 23rd Street #2I|https://streeteasy.com/building/ten23-500-west-23-street-new_york/02i|↓              $6,607                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|20 Days|NO BROKER FEES. Ten23 Apartments is the premier luxury apartment community in Manhattan's exciting Chelsea neighborhood. Ten23 features tiered lawns, casually sophisticated amenity areas, impressively appointed apartment homes and is right next to the High Line. Floor to ceiling windows embrace life on the High Line and amplify the views of the New York Times building, the Hudson River and the Empire State Building. Ten23 Apartments – an irresistible lifestyle in the Chelsea neighborhood.|Community Recreation Facilities                                              Concierge                                              Gym                                              Laundry in Building                                              Package Room                                              Storage Available|C          E                   at 23rd St            0.37 miles|A          C          E          L                   at 14th St-8th Av            0.49 miles
1558671762-787|https://streeteasy.com/for-rent/downtown?page=44&sort_by=sqft_desc|53 Murray Street #607|2 beds|2 baths|Condo in Tribeca|1,157 ft²|53 Murray Street #607|https://streeteasy.com/building/the-mansions-on-murray/607|$5,695                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator|Available Now|Listed Today|Fantastic apartment Split bedrooms, convertible 3 bedroom apartment, drenched in tons of natural light, a must seeCurrently Looking for Short Term OptionsWhole Foods, Barnes and Noble, Equinox, Bed Bath and Beyond are all located just a block away as well as some of the best restaurants, galleries, and shops. Brookfield Place and Westfield World Trade Center are ushering in world-class luxury retailers, exceptional dining destinations and exciting cultural events to the neighborhood. Just around the corner are the 1, 2, 3, 4, 5, 6, A, C, E, R, J and Z subway stop.|Dishwasher|A          C          E          1          2          3                   at Chambers St            under 500 feet|A          C          E          2          3          PATH                   at World Trade Center            0.11 miles
